mnemonic,unit,value,descr,API,file,MaxDepth
BHT,DEGF,113.0,Bottom Hole Temperature (used in calculations),0508107159,0508107159_2314411.LAS,4518.0
MRT,DEGF,115.0,Maximum Recorded Temperature,0508107159,0508107159_2314411.LAS,4518.0
BHT,DEGF,98.0,Bottom Hole Temperature (used in calculations),0508107160,0508107160_2349724.LAS,4493.0
MRT,DEGF,95.0,Maximum Recorded Temperature,0508107160,0508107160_2349724.LAS,4493.0
BHT,DEGF,108.0,Bottom Hole Temperature (used in calculations),0508107161,0508107161_2337197.LAS,4590.0
MRT,DEGF,108.0,Maximum Recorded Temperature,0508107161,0508107161_2337197.LAS,4590.0
BHT,DEGF,146.0,Bottom Hole Temperature (used in calculations),0508107198,0508107198_2577477.LAS,5268.0
MRT,DEGF,146.0,Maximum Recorded Temperature,0508107198,0508107198_2577477.LAS,5268.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0508107200,0508107200_2269007.LAS,5531.0
MRT,,,Maximum Recorded Temperature,0508107200,0508107200_2269007.LAS,5531.0
BHT,DEGF,84.0,Bottom Hole Temperature (used in calculations),0508107232,0508107232_2348096.LAS,1644.0
MRT,DEGF,84.0,Maximum Recorded Temperature,0508107232,0508107232_2348096.LAS,1644.0
BHT,DEGF,91.0,Bottom Hole Temperature (used in calculations),0508107233,0508107233_2234125.LAS,1977.0
MRT,DEGF,91.0,Maximum Recorded Temperature,0508107233,0508107233_2234125.LAS,1977.0
BHT,DEGF,106.0,Bottom Hole Temperature (used in calculations),0508107240,0508107240_2307904.LAS,4164.0
MRT,DEGF,106.0,Maximum Recorded Temperature,0508107240,0508107240_2307904.LAS,4164.0
BHT,DEGF,128.0,Bottom Hole Temperature (used in calculations),0508107253,0508107253_3462942.las,5601.0
MRT,DEGF,128.0,Maximum Recorded Temperature,0508107253,0508107253_3462942.las,5601.0
BHT,DegF,70.0,Bottom Hole Temp,0508107266,0508107266_2290719.LAS,4787.484
MRT,DegF,32.0,Max Recorded Temp,0508107266,0508107266_2290719.LAS,4787.484
BHT,DEGF,139.0,Bottom Hole Temperature (used in calculations),0508107275,0508107275_2586577.las,5384.5
MRT,DEGF,139.0,Maximum Recorded Temperature,0508107275,0508107275_2586577.las,5384.5
BHT,DEGF,135.0,Bottom Hole Temperature (used in calculations),0508107288,0508107288_2762057.las,8013.0
MRT,DEGF,125.0,Maximum Recorded Temperature,0508107288,0508107288_2762057.las,8013.0
BHT,DEGF,87.0,Bottom Hole Temperature,0508107292,0508107292_2371586.LAS,1930.0
MRT,DEGF,87.0,Maximum Recorded Temperature,0508107292,0508107292_2371586.LAS,1930.0
BHT,DEGF,87.0,Bottom Hole Temperature,0508107293,0508107293_2761891.las,1930.0
MRT,DEGF,87.0,Maximum Recorded Temperature,0508107293,0508107293_2761891.las,1930.0
TEMP,degF,108.7,Bottom Hole Temperature,0508107295,0508107295_2590148.LAS,4239.75
MRT,degF,110.0,Maximum Recorded Temperature,0508107295,0508107295_2590148.LAS,4239.75
TEMP,degF,108.7,Bottom Hole Temperature,0508107295,0508107295_2590150.LAS,755.75
MRT,degF,110.0,Maximum Recorded Temperature,0508107295,0508107295_2590150.LAS,755.75
TEMP,degF,114.5,Bottom Hole Temperature,0508107296,0508107296_2590149.LAS,4343.25
