mnemonic,unit,value,descr,API,file,MaxDepth
BHT,DEGF,185.0,Bottom Hole Temperature (used in calculations),0500109656,0500109656_2866470.las,8242.5
MRT,DEGF,185.0,Maximum Recorded Temperature,0500109656,0500109656_2866470.las,8242.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109656,0500109656_2866471.las,8141.5
MRT,DEGF,229.0,Maximum Recorded Temperature,0500109656,0500109656_2866471.las,8141.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109662,0500109662_2866476.las,8267.5
MRT,,,Maximum Recorded Temperature,0500109662,0500109662_2866476.las,8267.5
BHT,DEGF,200.56,Bottom Hole Temperature,0500109662,0500109662_2866477.las,8298.5
MRT,DEGF,200.56,Maximum Recorded Temperature,0500109662,0500109662_2866477.las,8298.5
BHT,degF,215.0,BottomHole Temp,0500109676,0500109676_2594020.las,8832.0
MRT,degF,219.0,Maximum Recorded Temperature,0500109676,0500109676_2594020.las,8832.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500109680,0500109680_2766080.las,7506.0
MRT,DEGF,182.0,Maximum Recorded Temperature,0500109680,0500109680_2766080.las,7506.0
BHT,DEGF,195.0,Bottom Hole Temperature (used in calculations),0500109681,0500109681_2582984.LAS,7422.0
MRT,DEGF,195.0,Maximum Recorded Temperature,0500109681,0500109681_2582984.LAS,7422.0
BHT:1,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596182.las,8612.0
BHT:2,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596182.las,8612.0
BHT,degF,200.0,Bottom Hole Temperature,0500109689,0500109689_2596183.las,8610.0
BHT,DEGF,141.0,Bottom Hole Temperature (used in calculations),0500109690,0500109690_3322396.las,6589.5
MRT,DEGF,141.0,Maximum Recorded Temperature,0500109690,0500109690_3322396.las,6589.5
BHT:1,degF,200.0,Bottom Hole Temperature,0500109713,0500109713_2630321.las,8447.0
BHT:2,degF,214.0,Bottom Hole Temperature,0500109713,0500109713_2630321.las,8447.0
BHT:1,degF,200.0,Bottom Hole Temperature,0500109717,0500109717_2644805.las,9008.0
BHT:2,degF,225.0,Bottom Hole Temperature,0500109717,0500109717_2644805.las,9008.0
BHT:1,,212,BHT                       | RUN[1],0500109740,0500109740_3022046.las,9558.0
MRT:1,,-999.25,Max Rec Temp              | RUN[1],0500109740,0500109740_3022046.las,9558.0
BHT:2,,207,BHT                       | RUN[3],0500109740,0500109740_3022046.las,9558.0
MRT:2,,207,Max Rec Temp              | RUN[3],0500109740,0500109740_3022046.las,9558.0
BHT,DEGF,212.0,Bottom Hole Temperature,0500109753,0500109753_3102196.las,11404.5
MRT,DEGF,-999.25,Maximum Recorded Temperature,0500109753,0500109753_3102196.las,11404.5
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3102197.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3102197.las,8289.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749559.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749559.las,8289.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749588.las,8297.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749588.las,8297.0
BHT,DEGF,195.39999,Bottom Hole Temperature,0500109753,0500109753_3749590.las,8289.0
MRT,DEGF,195.39999,Maximum Recorded Temperature,0500109753,0500109753_3749590.las,8289.0
BHT,DEGF,148.57001,Bottom Hole Temperature,0500109770,0500109770_3715781.las,5569.0
MRT,DEGF,148.57001,Maximum Recorded Temperature,0500109770,0500109770_3715781.las,5569.0
BHT,DEGF,145.0,Bottom Hole Temperature,0500109771,0500109771_3526448.las,5537.5
MRT,DEGF,145.0,Maximum Recorded Temperature,0500109771,0500109771_3526448.las,5537.5
MRT,,HCIM,Maximum Recorded Temperature,0500109779,0500109779_3388827.las,7847.0
MRT,,HCIM,Maximum Recorded Temperature,0500109779,0500109779_3388830.las,11844.0
BHT,DEGF,160.0,Bottom Hole Temperature (used in calculations),0500507117,0500507117_2577378.LAS,7590.0
MRT,DEGF,160.0,Maximum Recorded Temperature,0500507117,0500507117_2577378.LAS,7590.0
BHT,DEGF,160.0,Bottom Hole Temperature (used in calculations),0500507117,0500507117_2577379.LAS,7607.0
MRT,DEGF,160.0,Maximum Recorded Temperature,0500507117,0500507117_2577379.LAS,7607.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500507128,0500507128_2646022.las,7363.5
MRT,,,Maximum Recorded Temperature,0500507128,0500507128_2646022.las,7363.5
BHT,DEGF,222.0,Bottom Hole Temperature,0500507165,0500507165_3202587.las,6800.0
MRT,DEGF,222.0,Maximum Recorded Temperature,0500507165,0500507165_3202587.las,6800.0
MRT,degF,225.0,Maximum Recorded Temperature,0500507168,0500507168_3254287.las,8781.5
BHT,degF,225.0,BottomHole Temp,0500507168,0500507168_3254287.las,8781.5
BHT,DEGF,200.0,Bottom Hole Temperature (used in calculations),0500507178,0500507178_3177984.las,7250.5
MRT,,,Maximum Recorded Temperature,0500507178,0500507178_3177984.las,7250.5
BHT,DEGF,222.0,Bottom Hole Temperature,0500507179,0500507179_3178000.las,8018.0
MRT,DEGF,222.99998,Maximum Recorded Temperature,0500507179,0500507179_3178000.las,8018.0
BHT,DEGF,222.0,Bottom Hole Temperature,0500507179,0500507179_3178001.las,8028.5
MRT,DEGF,222.99998,Maximum Recorded Temperature,0500507179,0500507179_3178001.las,8028.5
BHT,DEGF,220.0,Bottom Hole Temperature (used in calculations),0500507179,0500507179_3178016.las,6865.5
MRT,,,Maximum Recorded Temperature,0500507179,0500507179_3178016.las,6865.5
MRT,,HCIM,Maximum Recorded Temperature,0500507180,0500507180_3248316.las,12141.0
BOTTEMP,DEGF,159.0,Bottom Hole Temperature,0500507182,0500507182_2968392.las,7935.0
BHT,DEGF,195.0,Bottom Hole Temperature,0500507182,0500507182_2968395.las,9667.5
MRT,DEGF,195.0,Maximum Recorded Temperature,0500507182,0500507182_2968395.las,9667.5
BHT,DEGF,195.0,Bottom Hole Temperature,0500507182,0500507182_3504428.las,9667.5
MRT,DEGF,195.0,Maximum Recorded Temperature,0500507182,0500507182_3504428.las,9667.5
BHT,degF,224.0,BottomHole Temp,0500507189,0500507189_3320492.las,8221.0
MRT,degF,224.0,Maximum Recorded Temperature,0500507189,0500507189_3320492.las,8221.0
MRT,,PCM,Maximum Recorded Temperature,0500507191,0500507191_3349402.las,12116.0
BHT,DEGF,215.0,Bottom Hole Temperature (used in calculations),0500507199,0500507199_3200842.las,7980.0
MRT,DEGF,200.0,Maximum Recorded Temperature,0500507199,0500507199_3200842.las,7980.0
BHT,DEGF,221.0,Bottom Hole Temperature,0500507202,0500507202_3202605.las,7833.5
MRT,DEGF,221.0,Maximum Recorded Temperature,0500507202,0500507202_3202605.las,7833.5
BHT,DEGF,221.0,Bottom Hole Temperature,0500507202,0500507202_3202606.las,7833.5
MRT,DEGF,221.0,Maximum Recorded Temperature,0500507202,0500507202_3202606.las,7833.5
BHT,degF,225.0,BottomHole Temp,0500507204,0500507204_4141238.las,7654.75
MRT,degF,225.0,Maximum Recorded Temperature,0500507204,0500507204_4141238.las,7654.75
MRT,degF,215.0,Maximum Recorded Temperature,0500507207,0500507207_3980988.las,8043.5
BHT,degF,209.0,BottomHole Temp,0500507207,0500507207_3980988.las,8043.5
MRT,degF,215.0,Maximum Recorded Temperature,0500507207,0500507207_4031499.las,8044.0
BHT,degF,209.0,BottomHole Temp,0500507207,0500507207_4031499.las,8044.0
BHT,degF,218.0,BottomHole Temp,0500507208,0500507208_3923638.las,8020.0
MRT,degF,218.0,Maximum Recorded Temperature,0500507208,0500507208_3923638.las,8020.0
MRT,,PCM,Maximum Recorded Temperature,0500507209,0500507209_3303554.las,12436.0
MRT,,HCIM,Maximum Recorded Temperature,0500507210,0500507210_3289197.las,9800.0
MRT,degF,247.0,Maximum Recorded Temperature,0500507210,0500507210_3289201.las,9816.0
BHT,degF,247.0,BottomHole Temp,0500507210,0500507210_3289201.las,9816.0
MRT,,HCIM,Maximum Recorded Temperature,0500507210,0500507210_3289208.las,12040.0
MRT,,HCIM,Maximum Recorded Temperature,0500507212,0500507212_3238781.las,11242.0
MRT,,HCIM,Maximum Recorded Temperature,0500507212,0500507212_3238782.las,7713.5
MRT,degF,220.0,Maximum Recorded Temperature,0500507214,0500507214_3263409.las,8053.5
BHT,degF,220.0,BottomHole Temp,0500507214,0500507214_3263409.las,8053.5
MRT,,HCIM,Maximum Recorded Temperature,0500507215,0500507215_3324692.las,12126.0
BHT,degF,256.0,BottomHole Temp,0500507215,0500507215_3324694.las,8270.0
MRT,degF,256.0,Maximum Recorded Temperature,0500507215,0500507215_3324694.las,8270.0
MRT,,HCIM,Maximum Recorded Temperature,0500507219,0500507219_3393189.las,8202.0
MRT,,HCIM,Maximum Recorded Temperature,0500507219,0500507219_3393913.las,15236.0
BHT,degF,221.0,BottomHole Temp,0500507219,0500507219_3981117.las,8210.5
MRT,degF,221.0,Maximum Recorded Temperature,0500507219,0500507219_3981117.las,8210.5
MRT,,PCM,Maximum Recorded Temperature,0500507222,0500507222_3448535.las,16841.0
MRT,,HCIM,Maximum Recorded Temperature,0500507223,0500507223_3480975.las,14645.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0500706224,0500706224_2575576.LAS,2623.0
MRT,,,Maximum Recorded Temperature,0500706224,0500706224_2575576.LAS,2623.0
BHT,DegF,32.0,Bottom Hole Temp,0500706260,0500706260_2768552.las,3435.0
MRT,DegF,32.0,Max Recorded Temp,0500706260,0500706260_2768552.las,3435.0
BHT,DegF,32.0,Bottom Hole Temp,0500706261,0500706261_2768551.las,4029.3
MRT,DegF,32.0,Max Recorded Temp,0500706261,0500706261_2768551.las,4029.3
BHT,DEGF,245.0,Bottom Hole Temperature,0500706323,0500706323_3962405.las,7979.5
MRT,DEGF,245.0,Maximum Recorded Temperature,0500706323,0500706323_3962405.las,7979.5
BHT,DEGF,245.0,Bottom Hole Temperature,0500706323,0500706323_3969167.las,7990.0
MRT,DEGF,245.0,Maximum Recorded Temperature,0500706323,0500706323_3969167.las,7990.0
MAXRECTEMP,degF,123.0,Maximum Recorded Temperature,0500906640,0500906640_2768723.las,4903.0
BOTTOMHOLETEMP,degF,123.0,BottomHole Temp,0500906640,0500906640_2768723.las,4903.0
MAXRECTEMP,degF,123.0,Maximum Recorded Temperature,0500906640,0500906640_2768724.las,4900.5
BOTTOMHOLETEMP,degF,123.0,BottomHole Temp,0500906640,0500906640_2768724.las,4900.5
MRT,degF,122.0,Maximum Recorded Temperature,0500906655,0500906655_2768725.las,5558.0
BHT,degF,99.0,BottomHole Temp,0500906655,0500906655_2768725.las,5558.0
BHT,degF,99.0,BottomHole Temp,0500906655,0500906655_2768726.las,5558.0
MRT,degF,120.0,Maximum Recorded Temperature,0500906661,0500906661_2770499.las,5139.0
BHT,degF,120.0,BottomHole Temp,0500906661,0500906661_2770499.las,5139.0
BHT,degF,118.0,BottomHole Temp,0500906666,0500906666_2769648.las,5039.0
MRT,degF,118.0,Maximum Recorded Temperature,0500906666,0500906666_2769648.las,5039.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2543260.las,4854.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2543260.las,4854.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2543261.las,4854.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2543261.las,4854.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2543262.las,4844.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2543262.las,4844.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2543263.las,4844.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2543263.las,4844.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2588164.las,4854.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2588164.las,4854.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2588165.las,4854.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2588165.las,4854.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2588166.las,4844.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2588166.las,4844.0
BHT,DEGF,119.0,Bottom Hole Temperature (used in calculations),0500906668,0500906668_2588167.las,4844.0
MRT,DEGF,119.0,Maximum Recorded Temperature,0500906668,0500906668_2588167.las,4844.0
BHT,DEGF,143.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2543257.las,4811.5
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2543257.las,4811.5
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2543258.las,4815.0
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2543258.las,4815.0
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2543259.las,4819.5
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2543259.las,4819.5
BHT,DEGF,143.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2588158.las,4811.5
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2588158.las,4811.5
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2588159.las,4815.0
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2588159.las,4815.0
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0500906669,0500906669_2588160.las,4819.5
MRT,DEGF,123.0,Maximum Recorded Temperature,0500906669,0500906669_2588160.las,4819.5
BHT,DEGF,118.0,Bottom hole temp,0501106194,0501106194_2770975.las,4914.5
MRT,DEGF,118.0,Max recorded temp,0501106194,0501106194_2770975.las,4914.5
BHT,DEGF,190.0,Bottom Hole Temperature (used in calculations),0501306510,0501306510_2286196.LAS,8285.0
MRT,DEGF,190.0,Maximum Recorded Temperature,0501306510,0501306510_2286196.LAS,8285.0
BHT:1,degF,200.0,Bottom Hole Temperature,0501306560,0501306560_2904755.las,8787.0
BHT:2,degF,243.0,Bottom Hole Temperature,0501306560,0501306560_2904755.las,8787.0
MRT,degF,199.0,Maximum Recorded Temperature,0501306594,0501306594_2621843.las,8455.0
BHT:1,degF,199.0,BottomHole Temp,0501306594,0501306594_2621843.las,8455.0
BHT:2,degF,200.0,Bottom Hole Temperature,0501306594,0501306594_2621843.las,8455.0
BHT:3,degF,199.0,Bottom Hole Temperature,0501306594,0501306594_2621843.las,8455.0
BHT,DEGF,89,Bottom Hole Temperature,0501706098,0501706098_3255018.las,5542.0
MRT,DEGF,90,Maximum Recorded Temperature,0501706098,0501706098_3255018.las,5542.0
BOTTOMHOLETEMP,degF,124.0,BottomHole Temp,0501707649,0501707649_2575430.LAS,5301.5
MAXRECTEMP,degF,124.0,Maximum Recorded Temperature,0501707649,0501707649_2575430.LAS,5301.5
MAXRECTEMP,degF,120.0,Maximum Recorded Temperature,0501707652,0501707652_2356944.LAS,5739.0
BOTTOMHOLETEMP,degF,120.0,BottomHole Temp,0501707652,0501707652_2356944.LAS,5739.0
BOTTOMHOLETEMP,degF,130.0,BottomHole Temp,0501707655,0501707655_2324610.LAS,5598.0
MAXRECTEMP,degF,130.0,Maximum Recorded Temperature,0501707655,0501707655_2324610.LAS,5598.0
BHT,degF,110.0,BottomHole Temp,0501707663,0501707663_2763639.las,5663.0
MRT,degF,140.0,Maximum Recorded Temperature,0501707663,0501707663_2763639.las,5663.0
MRT,degF,137.0,Maximum Recorded Temperature,0501707666,0501707666_2584317.LAS,5463.0
BHT,degF,137.0,BottomHole Temp,0501707666,0501707666_2584317.LAS,5463.0
BHT,degF,138.0,BottomHole Temp,0501707674,0501707674_2581234.LAS,5627.0
MRT,degF,138.0,Maximum Recorded Temperature,0501707674,0501707674_2581234.LAS,5627.0
BHT,DEGF,141.0,Bottom Hole Temperature (used in calculations),0501707694,0501707694_2609384.las,5526.0
MRT,DEGF,141.0,Maximum Recorded Temperature,0501707694,0501707694_2609384.las,5526.0
BHT,DEGF,141.0,Bottom Hole Temperature (used in calculations),0501707694,0501707694_2609386.las,5526.0
MRT,DEGF,141.0,Maximum Recorded Temperature,0501707694,0501707694_2609386.las,5526.0
BHT,DEGF,180.64,Bottom Hole Temperature (used in calculations),0501707699,0501707699_2649823.las,5544.0
MRT,DEGF,180.64,Maximum Recorded Temperature,0501707699,0501707699_2649823.las,5544.0
BHT,DEGF,180.64,Bottom Hole Temperature (used in calculations),0501707699,0501707699_2649838.las,5547.0
MRT,DEGF,180.64,Maximum Recorded Temperature,0501707699,0501707699_2649838.las,5547.0
BHT,DEGF,162.0,Bottom Hole Temperature (used in calculations),0501707700,0501707700_2725549.las,5310.0
MRT,DEGF,162.0,Maximum Recorded Temperature,0501707700,0501707700_2725549.las,5310.0
BHT,DEGF,143.0,Bottom Hole Temperature (used in calculations),0501707712,0501707712_2942715.las,5718.0
MRT,DEGF,143.0,Maximum Recorded Temperature,0501707712,0501707712_2942715.las,5718.0
BHT,DEGF,143.0,Bottom Hole Temperature (used in calculations),0501707712,0501707712_2942716.las,5709.5
MRT,DEGF,143.0,Maximum Recorded Temperature,0501707712,0501707712_2942716.las,5709.5
BHT,DEGF,130.0,Bottom Hole Temperature (used in calculations),0501707715,0501707715_2942702.las,5437.5
MRT,DEGF,130.0,Maximum Recorded Temperature,0501707715,0501707715_2942702.las,5437.5
BHT,DEGF,148.0,Bottom Hole Temperature,0501707717,0501707717_3021629.las,5480.5
MRT,DEGF,148.95,Maximum Recorded Temperature,0501707717,0501707717_3021629.las,5480.5
BHT,DEGF,140.0,Bottom Hole Temperature (used in calculations),0501707719,0501707719_2998518.las,5660.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0501707719,0501707719_2998518.las,5660.0
BHT,DEGF,145.0,Bottom Hole Temperature,0501707725,0501707725_3016731.las,5872.5
MRT,DEGF,145.0,Maximum Recorded Temperature,0501707725,0501707725_3016731.las,5872.5
BHT,DEGF,140.0,Bottom Hole Temperature,0501707733,0501707733_3040325.las,5563.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0501707733,0501707733_3040325.las,5563.0
BHT,DEGF,140.0,Bottom Hole Temperature,0501707733,0501707733_3060858.las,5563.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0501707733,0501707733_3060858.las,5563.0
BHT,DEGF,146.0,Bottom Hole Temp.,0501707741,0501707741_3205979.las,5650.0
BHT,DEGF,158,Bottom Hole Temperature,0501707753,0501707753_3206539.las,5657.0
MRT,DEGF,158,Maximum Recorded Temperature,0501707753,0501707753_3206539.las,5657.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0501707756,0501707756_3249602.las,5499.5
MRT,DEGF,168.0,Maximum Recorded Temperature,0501707756,0501707756_3249602.las,5499.5
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0501707757,0501707757_3254323.las,5386.0
MRT,,,Maximum Recorded Temperature,0501707757,0501707757_3254323.las,5386.0
BHT,DEGF,140.0,Bottom Hole Temperature (used in calculations),0501707760,0501707760_3253797.las,5445.0
MRT,DEGF,140.0,Maximum Recorded Temperature,0501707760,0501707760_3253797.las,5445.0
BHT,DEGF,171.5,Bottom Hole Temperature,0501707761,0501707761_3424683.las,5516.0
MRT,DEGF,171.5,Maximum Recorded Temperature,0501707761,0501707761_3424683.las,5516.0
BHT,DEGF,212.0,Bottom Hole Temperature,0501707771,0501707771_3210447.las,5781.0
MRT,DEGF,159.99998,Maximum Recorded Temperature,0501707771,0501707771_3210447.las,5781.0
MRT,,HCIM,Maximum Recorded Temperature,0501707774,0501707774_3326907.las,8905.0
MRT,,HCIM,Maximum Recorded Temperature,0501707774,0501707774_3326908.las,8905.0
MRT,,PCM,Maximum Recorded Temperature,0501707777,0501707777_3304634.las,9173.0
BHT,degF,184.0,BottomHole Temp,0501707777,0501707777_3304635.las,9187.5
MRT,degF,184.0,Maximum Recorded Temperature,0501707777,0501707777_3304635.las,9187.5
MRT,,PCM,Maximum Recorded Temperature,0501707777,0501707777_3450848.las,9173.0
MRT,,HCIM,Maximum Recorded Temperature,0501707780,0501707780_3307886.las,5914.0
MRT,,HCIM,Maximum Recorded Temperature,0501707780,0501707780_3307888.las,5914.0
BHT,DEGF,160.0,Bottom Hole Temperature,0501707780,0501707780_3439347.las,5428.5
MRT,DEGF,153.0,Maximum Recorded Temperature,0501707780,0501707780_3439347.las,5428.5
BHT,DEGF,155.0,Bottom Hole Temperature,0501707780,0501707780_3439374.las,5926.0
MRT,DEGF,155.0,Maximum Recorded Temperature,0501707780,0501707780_3439374.las,5926.0
BHT,DEGF,152,Bottom Hole Temperature,0501707785,0501707785_3397083.las,5596.5
MRT,DEGF,155,Maximum Recorded Temperature,0501707785,0501707785_3397083.las,5596.5
BHT,DEGF,145,Bottom Hole Temperature,0501707786,0501707786_3397142.las,5327.0
MRT,DEGF,145,Maximum Recorded Temperature,0501707786,0501707786_3397142.las,5327.0
BHT,DEGF,137,Bottom Hole Temperature,0501707787,0501707787_3399822.las,5387.0
MRT,DEGF,137,Maximum Recorded Temperature,0501707787,0501707787_3399822.las,5387.0
BHT,DEGF,137,Bottom Hole Temperature,0501707787,0501707787_3399823.las,5387.0
MRT,DEGF,137,Maximum Recorded Temperature,0501707787,0501707787_3399823.las,5387.0
BHT,DEGF,137,Bottom Hole Temperature,0501707787,0501707787_3407683.las,5387.0
MRT,DEGF,137,Maximum Recorded Temperature,0501707787,0501707787_3407683.las,5387.0
BHT,DEGF,137,Bottom Hole Temperature,0501707787,0501707787_3407684.las,5380.5
MRT,DEGF,137,Maximum Recorded Temperature,0501707787,0501707787_3407684.las,5380.5
BHT,DEGF,137,Bottom Hole Temperature,0501707787,0501707787_3407685.las,5387.0
MRT,DEGF,137,Maximum Recorded Temperature,0501707787,0501707787_3407685.las,5387.0
BHT,DEGF,149,Bottom Hole Temperature,0501707796,0501707796_3559957.las,5387.0
MRT,DEGF,149,Maximum Recorded Temperature,0501707796,0501707796_3559957.las,5387.0
BHT,degF,142.0,BottomHole Temp,0502506021,0502506021_3507591.las,6728.0
MRT,degF,142.0,Maximum Recorded Temperature,0502506021,0502506021_3507591.las,6728.0
BHT,degF,142.0,BottomHole Temp,0502506021,0502506021_3517103.las,6728.0
MRT,degF,142.0,Maximum Recorded Temperature,0502506021,0502506021_3517103.las,6728.0
BHT,DEGF,150.0,Bottom Hole Temperature,0502506022,0502506022_4169459.las,6648.0
TEMP,degF,95.0,Bottom Hole Temperature,0502906079,0502906079_2334712.LAS,3594.2501
MRT,degF,95.0,Maximum Recorded Temperature,0502906079,0502906079_2334712.LAS,3594.2501
BHTEMP,degF,106.0,Bottom Hole Temperature,0502906085,0502906085_2259692.LAS,3198.75
MRT,degF,106.1,Maximum Recorded Temperature,0502906085,0502906085_2259692.LAS,3198.75
BHT,DEGF,88.0,Bottom Hole Temperature (used in calculations),0502906086,0502906086_2303953.LAS,3043.5
MRT,DEGF,88.0,Maximum Recorded Temperature,0502906086,0502906086_2303953.LAS,3043.5
BHTEMP,degF,101.0,Bottom Hole Temperature,0502906087,0502906087_2649997.las,2899.75
MRT,degF,101.0,Maximum Recorded Temperature,0502906087,0502906087_2649997.las,2899.75
BHTEMP,degF,106.0,Bottom Hole Temperature,0502906089,0502906089_2297753.LAS,3686.5001
MRT,degF,106.0,Maximum Recorded Temperature,0502906089,0502906089_2297753.LAS,3686.5001
TEMP,degF,121.3,Bottom Hole Temperature,0502906092,0502906092_2247118.LAS,4242.2501
MRT,degF,121.3,Maximum Recorded Temperature,0502906092,0502906092_2247118.LAS,4242.2501
MAXRECTEMP,degF,206.0,Maximum Recorded Temperature,0502906094,0502906094_2228336.LAS,7116.0
BOTTOMHOLETEMP,degF,206.0,BottomHole Temp,0502906094,0502906094_2228336.LAS,7116.0
BHT,DEGF,148,Bottom Hole Temperature,0502906095,0502906095_2313073.LAS,3714.0
MRT,DEGF,148,Maximum Recorded Temperature,0502906095,0502906095_2313073.LAS,3714.0
BHT,DEGF,148,Bottom Hole Temperature,0502906095,0502906095_2390307.LAS,3717.5
MRT,DEGF,148,Maximum Recorded Temperature,0502906095,0502906095_2390307.LAS,3717.5
TEMP,degF,135.81,Bottom Hole Temperature,0502906103,0502906103_2414822.LAS,3990.25
MRT,degF,136.0,Maximum Recorded Temperature,0502906103,0502906103_2414822.LAS,3990.25
BHT,DEGF,203.0,Bottom Hole Temperature (used in calculations),0503108848,0503108848_2761069.las,8562.0
MRT,DEGF,203.0,Maximum Recorded Temperature,0503108848,0503108848_2761069.las,8562.0
BHT,DEGF,211.99986,Bottom Hole Temperature (used in calculations),0503306092,0503306092_2590315.LAS,5850.0
MRT,DEGF,107.0,Maximum Recorded Temperature,0503306092,0503306092_2590315.LAS,5850.0
BHT,DEGF,128.0,Bottom Hole Temperature (used in calculations),0503306123,0503306123_2411309.LAS,6264.0
MRT,,,Maximum Recorded Temperature,0503306123,0503306123_2411309.LAS,6264.0
BHT,DEGF,123.0,Bottom Hole Temperature (used in calculations),0503306124,0503306124_2417174.LAS,6030.0
MRT,DEGF,123.0,Maximum Recorded Temperature,0503306124,0503306124_2417174.LAS,6030.0
BHT,DegF,70.0,Bottom Hole Temp,0503306124,0503306124_2761998.las,5968.3
MRT,DegF,32.0,Max Recorded Temp,0503306124,0503306124_2761998.las,5968.3
BHT,DegF,70.0,Bottom Hole Temp,0503306124,0503306124_2761999.las,5912.156
MRT,DegF,32.0,Max Recorded Temp,0503306124,0503306124_2761999.las,5912.156
MRT,degF,191.0,Maximum Recorded Temperature,0503306130,0503306130_2663009.las,8698.5
BHT,degF,191.0,BottomHole Temp,0503306130,0503306130_2663009.las,8698.5
MAXRECTEMP,degF,130.0,Maximum Recorded Temperature,0503306131,0503306131_2272538.LAS,6006.0
BOTTOMHOLETEMP,degF,130.0,BottomHole Temp,0503306131,0503306131_2272538.LAS,6006.0
MRT,degF,178.0,Maximum Recorded Temperature,0503306135,0503306135_2769355.las,8629.0
BHT,degF,178.0,BottomHole Temp,0503306135,0503306135_2769355.las,8629.0
BHT,degF,172.0,BottomHole Temp,0503306135,0503306135_2769356.las,8498.5
MRT,degF,172.0,Maximum Recorded Temperature,0503306135,0503306135_2769356.las,8498.5
BHT,DEGF,180.0,Bottom Hole Temperature (used in calculations),0503306139,0503306139_2766003.las,5968.0
MRT,DEGF,126.0,Maximum Recorded Temperature,0503306139,0503306139_2766003.las,5968.0
BHT,F,0.0,Bottom Hole Temperature,0503306144,0503306144_2587251.las,9959.09
MRT,F,,Max Recorded Temperature,0503306144,0503306144_2587251.las,9959.09
BHT,DEGF,115,Bottom Hole Temperature,0503306145,0503306145_2587161.las,5350.0
MRT,DEGF,115,Maximum Recorded Temperature,0503306145,0503306145_2587161.las,5350.0
BHT:1,DEGF,92.4,Bottom Hole Temperature,0503306145,0503306145_2587162.las,2015.0
MRT:1,DEGF,92.4,Maximum Recorded Temperature,0503306145,0503306145_2587162.las,2015.0
BHT:2,DEGF,92.4,Bottom Hole Temperature,0503306145,0503306145_2587162.las,2015.0
MRT:2,DEGF,92.4,Maximum Recorded Temperature,0503306145,0503306145_2587162.las,2015.0
BHT,F,0.0,Bottom Hole Temperature,0503306146,0503306146_2587265.las,10065.5
MRT,F,,Max Recorded Temperature,0503306146,0503306146_2587265.las,10065.5
