DEPT,GR,GRTO,POTA,THOR,URAN
620.5,5.783,6.6812,0.0627,0.6025,0.8501
621.0,6.8194,7.1189,0.0733,0.6841,0.8503
621.5,7.102,6.6904,0.077,0.6887,0.7304
622.0,6.8483,6.1425,0.0774,0.6077,0.6387
622.5,6.5657,6.0116,0.0837,0.535,0.6236
623.0,6.7541,5.9594,0.094,0.4644,0.6097
623.5,7.3991,6.2908,0.1025,0.409,0.6636
624.0,7.7832,6.0982,0.0992,0.3575,0.6691
624.5,7.8919,6.0532,0.1022,0.3958,0.6282
625.0,7.631,5.8745,0.1028,0.4184,0.5797
625.5,7.8629,6.1244,0.1142,0.4967,0.5439
626.0,8.9065,6.1706,0.1197,0.5561,0.5035
626.5,9.0152,5.9238,0.1184,0.5606,0.4683
627.0,7.5585,5.7944,0.1193,0.5876,0.4306
627.5,7.102,5.3491,0.1143,0.5598,0.3726
628.0,8.5731,5.4209,0.124,0.583,0.3447
628.5,7.8846,5.3583,0.1241,0.5729,0.3311
629.0,6.2686,5.3415,0.1271,0.5704,0.3238
629.5,6.3121,5.7819,0.1444,0.6161,0.3406
630.0,6.2396,6.163,0.155,0.6624,0.3735
630.5,5.5294,7.088,0.1751,0.7915,0.4503
631.0,5.4859,7.8563,0.1924,0.9383,0.5021
631.5,6.1816,8.1866,0.2013,1.0242,0.5239
632.0,7.3411,7.8438,0.1892,0.9995,0.5154
632.5,9.0152,7.0633,0.1756,0.8747,0.4817
633.0,10.4138,6.2469,0.1457,0.7813,0.4632
633.5,9.2036,5.73,0.1289,0.7298,0.4471
634.0,8.334,5.8454,0.1283,0.7553,0.4669
634.5,8.6746,6.0873,0.1308,0.768,0.515
635.0,8.6166,7.0309,0.1452,0.8137,0.6472
635.5,7.9136,7.3318,0.1442,0.7844,0.7584
636.0,7.4498,7.155,0.1322,0.6878,0.823
636.5,7.1962,6.718,0.1222,0.6667,0.7741
637.0,7.7759,5.9051,0.1058,0.5669,0.7022
637.5,8.2108,5.9067,0.1054,0.5581,0.7102
638.0,6.1816,6.1881,0.1049,0.5753,0.7634
638.5,5.4424,6.3251,0.1013,0.5698,0.8006
639.0,6.5802,6.7942,0.103,0.6233,0.8704
639.5,7.0078,6.7781,0.0942,0.6336,0.9019
640.0,7.131,6.6965,0.0855,0.6324,0.9252
640.5,7.3629,6.8648,0.0806,0.6404,0.9729
641.0,7.3266,6.6319,0.0707,0.5697,0.9615
641.5,6.37,6.4461,0.0648,0.5064,0.9409
642.0,5.8917,6.1024,0.0589,0.4447,0.8886
642.5,6.1599,5.7926,0.0527,0.4029,0.8422
643.0,6.1019,5.1204,0.045,0.3723,0.7238
643.5,6.0657,4.5121,0.0409,0.3315,0.6163
644.0,5.0076,3.6549,0.0309,0.2611,0.5122
644.5,4.667,3.6097,0.03,0.2531,0.5155
645.0,6.9136,3.7155,0.0305,0.2505,0.5568
645.5,7.2179,4.185,0.0342,0.2815,0.6312
646.0,5.6671,4.77,0.0473,0.3232,0.6829
646.5,5.87,4.857,0.0516,0.3155,0.6872
647.0,5.283,4.8764,0.058,0.2855,0.6868
647.5,6.2179,4.7861,0.0555,0.2483,0.6901
648.0,8.1166,5.3134,0.0579,0.2237,0.8034
648.5,9.5225,6.6684,0.0667,0.3346,0.9974
649.0,11.5298,8.1739,0.0797,0.5017,1.2036
649.5,12.1168,8.7257,0.0794,0.5845,1.2847
650.0,10.8124,7.8414,0.0743,0.5841,1.1161
650.5,9.0514,6.7271,0.0693,0.5393,0.9364
651.0,7.5006,5.9891,0.0658,0.4983,0.8294
651.5,6.2251,5.9879,0.0688,0.5067,0.8366
652.0,5.6526,6.1048,0.0678,0.5203,0.8672
652.5,6.4932,6.3141,0.0643,0.5144,0.9198
653.0,7.2469,6.4972,0.0655,0.514,0.9493
653.5,7.015,6.6788,0.0723,0.4929,0.9758
654.0,7.0802,6.6116,0.0885,0.4797,0.9291
654.5,7.6527,6.6013,0.1082,0.4965,0.8473
655.0,8.7833,5.9055,0.1119,0.4985,0.6789
655.5,8.4644,6.0917,0.1315,0.5802,0.6209
656.0,7.7035,5.4426,0.1214,0.5325,0.5274
656.5,8.131,6.0433,0.1358,0.5933,0.5809
657.0,9.4137,7.3035,0.1691,0.7156,0.6943
657.5,10.8559,8.5831,0.2039,0.8367,0.804
658.0,11.6313,9.9823,0.2468,0.949,0.9054
658.5,12.3198,9.7288,0.25,0.9088,0.8539
659.0,11.1965,8.3955,0.2193,0.7131,0.747
659.5,9.2108,6.3093,0.1676,0.4798,0.5644
660.0,7.8339,4.7145,0.1267,0.3382,0.4125
660.5,6.4787,4.3559,0.1177,0.2822,0.3759
661.0,5.9207,5.0974,0.1394,0.3069,0.4268
661.5,7.1382,5.6363,0.1509,0.3011,0.4778
662.0,8.276,6.2845,0.1686,0.3021,0.5305
662.5,8.7905,6.5395,0.1793,0.2913,0.5514
663.0,8.6166,6.9917,0.197,0.3072,0.5898
663.5,8.0078,7.191,0.2004,0.3057,0.6374
664.0,8.3122,7.132,0.1865,0.31,0.665
664.5,8.131,6.7226,0.1504,0.2678,0.7068
665.0,7.4064,6.1503,0.123,0.1954,0.7021
665.5,7.3556,5.6069,0.1001,0.1294,0.6641
666.0,6.8121,4.9282,0.0835,0.1281,0.5819
666.5,6.5295,4.7466,0.0791,0.249,0.5377
667.0,6.8194,4.8244,0.0727,0.3722,0.5214
667.5,7.2542,5.1643,0.067,0.493,0.5403
668.0,8.0441,5.778,0.0629,0.5665,0.6386
668.5,8.9717,6.5726,0.0605,0.6335,0.7916
669.0,8.9282,6.6878,0.0563,0.6197,0.8881
669.5,8.0803,6.2154,0.0485,0.5657,0.8854
670.0,7.5368,5.9981,0.0438,0.538,0.8956
670.5,7.4064,5.3816,0.0376,0.4733,0.8224
