API_Label,Latitude,Longitude,geometry
05-057-05115,40.78528,-106.23675,POINT (395649 4515657)
05-057-05116,40.785374,-106.263181,POINT (393419 4515700)
05-057-05117,40.785502,-106.253492,POINT (394237 4515702)
05-057-05118,40.786453,-106.137668,POINT (404011 4515674)
05-057-05119,40.793762,-106.268632,POINT (392973 4516637)
05-057-05120,40.78897,-106.24772,POINT (394730 4516080)
05-057-05121,40.79988,-106.257493,POINT (393922 4517303)
05-057-05122,40.801117,-106.136527,POINT (404129 4517301)
05-057-05123,40.810692,-106.223681,POINT (396792 4518463)
05-057-05124,40.814492,-106.224011,POINT (396770 4518885)
05-057-05125,40.816563,-106.487991,POINT (374509 4519459)
05-057-05126,40.818214,-106.198169,POINT (398955 4519268)
05-057-05127,40.81809,-106.23305,POINT (396013 4519295)
05-057-05128,40.820892,-106.19481,POINT (399242 4519561)
05-057-05129,40.82192,-106.23263,POINT (396054 4519720)
05-057-05130,40.822172,-106.271302,POINT (392793 4519794)
05-057-05131,40.823,-106.23623,POINT (395752 4519844)
05-057-05132,40.8227,-106.24118,POINT (395334 4519817)
05-057-05133,40.821852,-106.247102,POINT (394834 4519730)
05-057-05134,40.82431,-106.23869,POINT (395547 4519992)
05-057-05135,40.82443,-106.24109,POINT (395345 4520008)
05-057-05136,40.82606,-106.24587,POINT (394944 4520195)
05-057-05137,40.826899,-106.279411,POINT (392117 4520329)
05-057-05138,40.828136,-106.247999,POINT (394768 4520428)
05-057-05139,40.82842,-106.28412,POINT (391723 4520504)
05-057-05140,40.828794,-106.237219,POINT (395678 4520488)
05-057-05141,40.828819,-106.204777,POINT (398414 4520453)
05-057-05142,40.854852,-106.285631,POINT (391638 4523440)
05-057-05143,40.856362,-106.273679,POINT (392648 4523593)
05-057-05144,40.857692,-106.221751,POINT (397027 4523678)
05-057-05145,40.863786,-106.380873,POINT (383626 4524554)
05-057-05146,40.873017,-106.274764,POINT (392584 4525443)
05-057-05147,40.876621,-106.315134,POINT (389188 4525893)
05-057-05148,40.88934,-106.50579,POINT (373147 4527564)
05-057-05149,40.88751,-106.50345,POINT (373341 4527358)
05-057-05150,40.89302,-106.510351,POINT (372770 4527979)
05-057-05151,40.911139,-106.49918,POINT (373745 4529975)
05-057-05203,40.719851,-106.526049,POINT (371113 4508778)
05-057-05204,40.828262,-106.242652,POINT (395219 4520436)
05-057-05205,40.808242,-106.324674,POINT (388269 4518315)
05-057-05206,40.819192,-106.276053,POINT (392388 4519469)
05-057-05207,40.77494,-106.25825,POINT (393819 4514535)
05-057-05208,40.78239,-106.26614,POINT (393165 4515372)
05-057-05209,40.796712,-106.257812,POINT (393890 4516952)
05-057-05210,40.802303,-106.129418,POINT (404730 4517425)
05-057-05748,40.88934,-106.50579,POINT (373147 4527564)
05-057-06001,40.771833,-106.125067,POINT (405054 4514038)
05-057-06002,40.768293,-106.120277,POINT (405453 4513640)
05-057-06003,40.579575,-106.460672,POINT (376376 4493113)
05-057-06004,40.555705,-106.295051,POINT (390355 4490244)
05-057-06005,40.808322,-106.315064,POINT (389080 4518311)
05-057-06006,40.847424,-106.28057,POINT (392053 4522609)
05-057-06007,40.718143,-106.158508,POINT (402153 4508114)
05-057-06008,40.78581,-106.24797,POINT (394704 4515730)
05-057-06009,40.729618,-106.499132,POINT (373405 4509824)
05-057-06010,40.781556,-106.236889,POINT (395632 4515244)
05-057-06011,40.725967,-106.498523,POINT (373449 4509417)
05-057-06012,40.722155,-106.498497,POINT (373444 4508994)
05-057-06013,40.782778,-106.248444,POINT (394659 4515394)
05-057-06014,40.755028,-106.512603,POINT (372316 4512664)
05-057-06015,40.771782,-106.22465,POINT (396649 4514145)
05-057-06016,40.760643,-106.20946,POINT (397914 4512890)
05-057-06017,40.779512,-106.248801,POINT (394623 4515031)
05-057-06018,40.76828,-106.22469,POINT (396641 4513756)
05-057-06019,40.775917,-106.239028,POINT (395443 4514621)
